city,lat,lng,country,iso2,admin_name,capital,population,population_proper,State,Nearest_Sea_Coast,Distance_to_Sea_Coast_km
Durgāpur,23.55,87.32,India,IN,West Bengal,,566517.0,566517.0,West Bengal,Digha Coast (West Bengal),214.06209599914146
Āsansol,23.6833,86.9667,India,IN,West Bengal,,563917.0,563917.0,West Bengal,Digha Coast (West Bengal),235.1316630385105
Bhāvnagar,21.765,72.1369,India,IN,Gujarāt,,554978.0,464602.0,Gujarat,Veraval Coast (Gujarat),206.8506024142695
Amrāvati,20.9333,77.75,India,IN,Mahārāshtra,,549370.0,549370.0,Maharashtra,Mumbai Coast (Maharashtra),559.2143443664654
Nellore,14.4333,79.9667,India,IN,Andhra Pradesh,,547621.0,547621.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),2.3699916274534885
Ajmer,26.468,74.639,India,IN,Rājasthān,,542321.0,542321.0,Rajasthan,Porbandar Coast (Gujarat),738.3092157702389
Tinnevelly,8.7289,77.7081,India,IN,Tamil Nādu,,542200.0,435844.0,Tamil Nadu,Tuticorin Coast (Tamil Nadu),47.11330807123404
Bīkaner,28.0181,73.3169,India,IN,Rājasthān,,529007.0,529007.0,Rajasthan,Dwarka Coast (Gujarat),775.8228449916669
Agartala,23.8333,91.2667,India,IN,Tripura,admin,522613.0,522613.0,Tripura,Digha Coast (West Bengal),454.04405215057744
Ujjain,23.1828,75.7772,India,IN,Madhya Pradesh,,515215.0,515215.0,Madhya Pradesh,Mumbai Coast (Maharashtra),557.7591228985046
Jhānsi,25.4486,78.5696,India,IN,Uttar Pradesh,,507000.0,507000.0,Uttar Pradesh,Mumbai Coast (Maharashtra),929.5730459398067
Ulhāsnagar,19.2167,73.15,India,IN,Mahārāshtra,,506098.0,506098.0,Maharashtra,Mumbai Coast (Maharashtra),43.42189800126871
Davangere,14.4667,75.9167,India,IN,Karnātaka,,503564.0,435125.0,Karnataka,Karwar Coast (Karnataka),196.29863651055035
Jammu,32.7333,74.85,India,IN,Jammu and Kashmīr,,502197.0,502197.0,,Dwarka Coast (Gujarat),1299.4030950882159
Belgaum,15.8667,74.5,India,IN,Karnātaka,,488157.0,488157.0,Karnataka,Panaji Coast (Goa),83.19979889282122
Gulbarga,17.3333,76.8333,India,IN,Karnātaka,,483615.0,481478.0,Karnataka,Ratnagiri Coast (Maharashtra),376.5589150086313
Jāmnagar,22.47,70.07,India,IN,Gujarāt,,479920.0,479920.0,Gujarat,Porbandar Coast (Gujarat),102.37945569321096
Dhūlia,20.9,74.7833,India,IN,Mahārāshtra,,479073.0,366980.0,Maharashtra,Mumbai Coast (Maharashtra),295.6976244874031
Gaya,24.75,85.0167,India,IN,Bihār,,474093.0,474093.0,Bihar,Digha Coast (West Bengal),431.60072104627966
Jalgaon,21.0167,75.5667,India,IN,Mahārāshtra,,460468.0,460468.0,Maharashtra,Mumbai Coast (Maharashtra),365.23351603756436
Kurnool,15.8222,78.035,India,IN,Andhra Pradesh,,457633.0,457633.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),259.417025324416
Udaipur,24.5833,73.6833,India,IN,Rājasthān,,451100.0,451100.0,Rajasthan,Porbandar Coast (Gujarat),527.7449472409934
Bellary,15.15,76.915,India,IN,Karnātaka,,445388.0,336681.0,Karnataka,Karwar Coast (Karnataka),301.8867119262832
Sāngli,16.8667,74.5667,India,IN,Mahārāshtra,,436639.0,436639.0,Maharashtra,Ratnagiri Coast (Maharashtra),134.35509508761965
Tuticorin,8.7833,78.1333,India,IN,Tamil Nādu,,436094.0,436094.0,Tamil Nadu,Tuticorin Coast (Tamil Nadu),2.1188992605342336
Calicut,11.25,75.7667,India,IN,Kerala,minor,431560.0,431560.0,Kerala,Kozhikode Coast (Kerala),1.7847681711118255
Akola,20.7333,77.0,India,IN,Mahārāshtra,,425817.0,425817.0,Maharashtra,Mumbai Coast (Maharashtra),478.6344122961634
Bhāgalpur,25.25,87.0167,India,IN,Bihār,,410210.0,410210.0,Bihar,Digha Coast (West Bengal),404.7095545576899
Sīkar,27.6119,75.1397,India,IN,Rājasthān,,400000.0,237579.0,Rajasthan,Dwarka Coast (Gujarat),861.6188140257725
Tumkūr,13.33,77.1,India,IN,Karnātaka,,399606.0,307359.0,Karnataka,Mangalore Coast (Karnataka),247.63105903985715
Quilon,8.8853,76.5864,India,IN,Kerala,,397419.0,397419.0,Kerala,Kollam Coast (Kerala),3.169567442651851
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451.0,392451.0,Uttar Pradesh,Dwarka Coast (Gujarat),1186.0411439076597
Bhīlwāra,25.35,74.6333,India,IN,Rājasthān,,389911.0,326431.0,Rajasthan,Porbandar Coast (Gujarat),655.559359719774
Nizāmābād,18.6704,78.1,India,IN,Telangana,,388505.0,305438.0,Telangana,Kakinada Coast (Andhra Pradesh),477.3913369810455
Bhātpāra,22.8667,88.4167,India,IN,West Bengal,,386019.0,386019.0,West Bengal,Digha Coast (West Bengal),164.2663326272836
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182.0,384182.0,Andhra Pradesh,Kakinada Coast (Andhra Pradesh),6.992557527051244
Parbhani,19.2704,76.76,India,IN,Mahārāshtra,,378326.0,289629.0,Maharashtra,Mumbai Coast (Maharashtra),415.29934983025214
Pānihāti,22.69,88.37,India,IN,West Bengal,,377347.0,377347.0,West Bengal,Digha Coast (West Bengal),145.46469529452537
Lātūr,18.4004,76.57,India,IN,Mahārāshtra,,374394.0,348967.0,Maharashtra,Ratnagiri Coast (Maharashtra),379.2183445396724
Rohtak,28.9,76.5667,India,IN,Haryāna,,374292.0,374292.0,Haryana,Dwarka Coast (Gujarat),1061.2658991570097
Rājapālaiyam,9.4204,77.58,India,IN,Tamil Nādu,,369991.0,307959.0,Tamil Nadu,Tuticorin Coast (Tamil Nadu),94.80009754261093
Ahmadnagar,19.0833,74.7333,India,IN,Mahārāshtra,,350859.0,350859.0,Maharashtra,Mumbai Coast (Maharashtra),201.2500642446764
Cuddapah,14.4667,78.8167,India,IN,Andhra Pradesh,,344893.0,344893.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),126.15379764149955
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831.0,341831.0,Andhra Pradesh,Kakinada Coast (Andhra Pradesh),49.43849435440421
Alwar,27.5667,76.6167,India,IN,Rājasthān,,341422.0,341422.0,Rajasthan,Porbandar Coast (Gujarat),964.6873671708538
Muzaffarpur,26.12,85.3833,India,IN,Bihār,,333200.0,333200.0,Bihar,Digha Coast (West Bengal),543.8452060062235
Bilāspur,22.15,82.0167,India,IN,Chhattīsgarh,,331030.0,331030.0,Chhattisgarh,Gopalpur Coast (Odisha),439.02211444905015
Mathura,27.4833,77.6833,India,IN,Uttar Pradesh,,330511.0,330511.0,Uttar Pradesh,Veraval Coast (Gujarat),1040.4328136654826
Kāmārhāti,22.67,88.37,India,IN,West Bengal,,330211.0,330211.0,West Bengal,Digha Coast (West Bengal),143.68341033203836
Patiāla,30.3204,76.385,India,IN,Punjab,,329224.0,329224.0,Punjab,Dwarka Coast (Gujarat),1161.3756122032883
Saugor,23.8504,78.75,India,IN,Madhya Pradesh,,328240.0,247333.0,Madhya Pradesh,Gopalpur Coast (Odisha),815.1322551660006
Bijāpur,16.8244,75.7154,India,IN,Karnātaka,,327427.0,327427.0,Karnataka,Panaji Coast (Goa),250.05624204976647
Brahmapur,19.32,84.8,India,IN,Odisha,,324726.0,324726.0,Odisha,Gopalpur Coast (Odisha),13.131553706804278
Shāhjānpur,27.8804,79.905,India,IN,Uttar Pradesh,,320434.0,320434.0,Uttar Pradesh,Digha Coast (West Bengal),1036.8317103223794
Trichūr,10.52,76.21,India,IN,Kerala,,315596.0,315596.0,Kerala,Kochi Coast (Kerala),65.42862993639797
Barddhamān,23.25,87.85,India,IN,West Bengal,,314265.0,314265.0,West Bengal,Digha Coast (West Bengal),182.4450358448258
Kulti,23.73,86.85,India,IN,West Bengal,,313809.0,313809.0,West Bengal,Digha Coast (West Bengal),243.36021614638503
Sambalpur,21.4704,83.9701,India,IN,Odisha,,310852.0,162887.0,Odisha,Gopalpur Coast (Odisha),262.8667533368067
Purnea,25.78,87.47,India,IN,Bihār,,310817.0,310817.0,Bihar,Digha Coast (West Bengal),459.92966848743674
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024.0,307024.0,Haryana,Dwarka Coast (Gujarat),1023.0368698043451
Fīrozābād,27.15,78.3949,India,IN,Uttar Pradesh,,306409.0,306409.0,Uttar Pradesh,Veraval Coast (Gujarat),1069.72990172337
Bīdar,17.9229,77.5175,India,IN,Karnātaka,,300136.0,204071.0,Karnataka,Ratnagiri Coast (Maharashtra),458.4839017582482
Rāmpur,28.8154,79.025,India,IN,Uttar Pradesh,,296418.0,296418.0,Uttar Pradesh,Digha Coast (West Bengal),1169.7797660474587
Shiliguri,26.72,88.42,India,IN,West Bengal,,294546.0,294546.0,West Bengal,Digha Coast (West Bengal),571.0522404128145
Bāli,22.65,88.34,India,IN,West Bengal,,293373.0,293373.0,West Bengal,Digha Coast (West Bengal),140.06935142083628
Pānīpat,29.4004,76.97,India,IN,Haryāna,,292808.0,292808.0,Haryana,Dwarka Coast (Gujarat),1127.690315499339
Karīmnagar,18.4333,79.15,India,IN,Telangana,,289821.0,289821.0,Telangana,Kakinada Coast (Andhra Pradesh),365.37313884549184
Bhuj,23.2504,69.81,India,IN,Gujarāt,,289429.0,289429.0,Gujarat,Dwarka Coast (Gujarat),141.52534424936061
Ichalkaranji,16.7,74.47,India,IN,Mahārāshtra,,287570.0,287570.0,Maharashtra,Ratnagiri Coast (Maharashtra),127.52144591438677
Tirupati,13.65,79.42,India,IN,Andhra Pradesh,,287482.0,287482.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),106.93030558844748
Hospet,15.2667,76.4,India,IN,Karnātaka,,286007.0,197846.0,Karnataka,Karwar Coast (Karnataka),249.219291236011
Āīzawl,23.7104,92.72,India,IN,Mizoram,admin,283021.0,265331.0,Mizoram,Digha Coast (West Bengal),580.077094939156
Sannai,24.16,80.83,India,IN,Madhya Pradesh,,283004.0,283004.0,Madhya Pradesh,Gopalpur Coast (Odisha),686.736786883898
Bārāsat,22.2333,88.45,India,IN,West Bengal,,278435.0,278435.0,West Bengal,Digha Coast (West Bengal),115.45516031186911
Ratlām,23.3167,75.0667,India,IN,Madhya Pradesh,,273892.0,273892.0,Madhya Pradesh,Mumbai Coast (Maharashtra),534.0971548808437
Handwāra,34.4,74.28,India,IN,Jammu and Kashmīr,,269311.0,269311.0,,Dwarka Coast (Gujarat),1444.2504788163367
Drug,21.19,81.28,India,IN,Chhattīsgarh,,268806.0,268806.0,Chhattisgarh,Gopalpur Coast (Odisha),435.096237499162
Imphāl,24.82,93.95,India,IN,Manipur,admin,268243.0,268243.0,Manipur,Digha Coast (West Bengal),745.0866896062033
Anantapur,14.6833,77.6,India,IN,Andhra Pradesh,,267161.0,267161.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),258.5569854042463
Etāwah,26.7855,79.015,India,IN,Uttar Pradesh,,257448.0,257448.0,Uttar Pradesh,Gopalpur Coast (Odisha),1028.3858329295988
Rāichūr,16.2104,77.355,India,IN,Karnātaka,,255240.0,225962.0,Karnataka,Nellore Coast (Andhra Pradesh),343.6700633999644
Ongole,15.5,80.05,India,IN,Andhra Pradesh,,252739.0,252739.0,Andhra Pradesh,Nellore Coast (Andhra Pradesh),117.19886597078118
Bharatpur,27.2172,77.49,India,IN,Rājasthān,,252342.0,252342.0,Rajasthan,Veraval Coast (Gujarat),1006.382773472974
Begusarai,25.42,86.13,India,IN,Bihār,,252008.0,252008.0,Bihar,Digha Coast (West Bengal),443.9836750760349
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521.0,250521.0,Haryana,Dwarka Coast (Gujarat),1100.714935991759
Rāmgundam,18.8,79.45,India,IN,Telangana,,242979.0,242979.0,Telangana,Kakinada Coast (Andhra Pradesh),357.8269183647833
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920.0,242920.0,Uttar Pradesh,Porbandar Coast (Gujarat),1135.5071445685571
Uluberiya,22.47,88.11,India,IN,West Bengal,,235345.0,235345.0,West Bengal,Digha Coast (West Bengal),110.25656103784026
Porbandar,21.6425,69.6047,India,IN,Gujarāt,,234684.0,138872.0,Gujarat,Porbandar Coast (Gujarat),2.548113607948904
Pāli,25.7725,73.3233,India,IN,Rājasthān,,229956.0,229956.0,Rajasthan,Dwarka Coast (Gujarat),591.1606709818712
Vizianagaram,18.1167,83.4167,India,IN,Andhra Pradesh,,228720.0,228720.0,Andhra Pradesh,Visakhapatnam Coast (Andhra Pradesh),52.00993268794966
Puducherry,11.93,79.83,India,IN,Puducherry,admin,227411.0,227411.0,Puducherry,Puducherry Coast (Puducherry),2.454168162908969
Karnāl,29.6804,76.97,India,IN,Haryāna,,225049.0,225049.0,Haryana,Dwarka Coast (Gujarat),1149.0239215978631
Nāgercoil,8.17,77.43,India,IN,Tamil Nādu,,224329.0,213858.0,Tamil Nadu,Thiruvananthapuram Coast (Kerala),66.98733661262055
Tanjore,10.8,79.15,India,IN,Tamil Nādu,,222943.0,222943.0,Tamil Nadu,Nagapattinam Coast (Tamil Nadu),75.89697993957445
Sambhal,28.58,78.55,India,IN,Uttar Pradesh,,220813.0,220813.0,Uttar Pradesh,Porbandar Coast (Gujarat),1182.5073818366466
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575.0,206575.0,Himachal Pradesh,Dwarka Coast (Gujarat),1276.34661406303
Ghāndīnagar,23.22,72.68,India,IN,Gujarāt,admin,195891.0,195891.0,Gujarat,Veraval Coast (Gujarat),350.3683032508288
Shillong,25.5744,91.8789,India,IN,Meghālaya,admin,143229.0,143229.0,Meghalaya,Digha Coast (West Bengal),622.0988559626621
New Delhi,28.7,77.2,India,IN,Delhi,primary,142004.0,142004.0,Delhi,Porbandar Coast (Gujarat),1091.9964737839334
Port Blair,11.6667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562.0,112050.0,Andaman and Nicobar Islands,Port Blair Coast (Andaman and Nicobar Islands),5.432209125429597
Gangtok,27.33,88.62,India,IN,Sikkim,admin,100286.0,100286.0,Sikkim,Digha Coast (West Bengal),641.0110972102029
Kohīma,25.6667,94.1194,India,IN,Nāgāland,admin,99039.0,99039.0,Nagaland,Digha Coast (West Bengal),806.4181657539627
Itānagar,27.1,93.62,India,IN,Arunāchal Pradesh,admin,59490.0,59490.0,,Digha Coast (West Bengal),864.5209928187667
Panaji,15.48,73.83,India,IN,Goa,admin,40017.0,40017.0,Goa,Panaji Coast (Goa),1.22900808146282
Damān,20.417,72.85,India,IN,Gujarāt,admin,39737.0,39737.0,Dadra and Nagar Haveli and Daman and Diu,Mumbai Coast (Maharashtra),159.6517297427865
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688.0,10688.0,Lakshadweep,Kavaratti Coast (Lakshadweep Islands),0.45350760411404806
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,,Haryana,Dwarka Coast (Gujarat),1222.0106265284658
Kagaznāgār,19.3316,79.4661,India,IN,Telangana,minor,,,Telangana,Kakinada Coast (Andhra Pradesh),392.1934536823473
Bengaluru,12.9716,77.5946,India,,,,,,Karnataka,Puducherry Coast (Puducherry),268.21505945910604
